run_accession	study_accession	fastq1_url	fastq2_url	fastq1_bytes	fastq2_bytes	chunks
ERR1094256	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/006/ERR1094256/ERR1094256_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/006/ERR1094256/ERR1094256_2.fastq.gz	194507310	195986338	50
ERR1094259	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/009/ERR1094259/ERR1094259_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/009/ERR1094259/ERR1094259_2.fastq.gz	215289068	220010392	50
ERR1094262	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR1094262/ERR1094262_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR1094262/ERR1094262_2.fastq.gz	205989309	208315423	50
ERR1094264	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/004/ERR1094264/ERR1094264_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/004/ERR1094264/ERR1094264_2.fastq.gz	214976065	218013809	50
ERR1094266	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/006/ERR1094266/ERR1094266_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/006/ERR1094266/ERR1094266_2.fastq.gz	213257803	215792751	50
ERR1094271	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR1094271/ERR1094271_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR1094271/ERR1094271_2.fastq.gz	212460089	215188324	50
ERR1094274	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/004/ERR1094274/ERR1094274_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/004/ERR1094274/ERR1094274_2.fastq.gz	175231607	178741784	50
ERR1094279	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/009/ERR1094279/ERR1094279_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/009/ERR1094279/ERR1094279_2.fastq.gz	42093878	42971791	50
ERR1094280	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/000/ERR1094280/ERR1094280_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/000/ERR1094280/ERR1094280_2.fastq.gz	212717400	215969024	50
ERR1094281	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR1094281/ERR1094281_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR1094281/ERR1094281_2.fastq.gz	66511589	67619325	50
ERR1094282	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR1094282/ERR1094282_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR1094282/ERR1094282_2.fastq.gz	208351007	211685118	50
ERR1094288	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/008/ERR1094288/ERR1094288_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/008/ERR1094288/ERR1094288_2.fastq.gz	210772094	213926029	50
ERR1094291	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR1094291/ERR1094291_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR1094291/ERR1094291_2.fastq.gz	195600794	200543056	50
ERR1094294	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/004/ERR1094294/ERR1094294_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/004/ERR1094294/ERR1094294_2.fastq.gz	190390374	193795998	50
ERR1094297	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/007/ERR1094297/ERR1094297_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/007/ERR1094297/ERR1094297_2.fastq.gz	190473096	188799496	50
ERR1094298	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/008/ERR1094298/ERR1094298_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/008/ERR1094298/ERR1094298_2.fastq.gz	161279628	164488543	50
ERR1094299	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/009/ERR1094299/ERR1094299_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/009/ERR1094299/ERR1094299_2.fastq.gz	193674910	196674631	50
ERR1094305	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR1094305/ERR1094305_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR1094305/ERR1094305_2.fastq.gz	192653012	195438804	50
ERR1094307	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/007/ERR1094307/ERR1094307_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/007/ERR1094307/ERR1094307_2.fastq.gz	175160499	176574884	50
ERR1094308	PRJEB11501	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/008/ERR1094308/ERR1094308_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/008/ERR1094308/ERR1094308_2.fastq.gz	176956050	179639982	50
