process,task_hash,c_bytes
NFCORE_MAG-MAG-CATPACK-CAT_DB_UNTAR,dc5715c5,9540720
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,4e88a045,52952165
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,7b560d8e,53809951
NFCORE_MAG-MAG-BIN_QC-BUSCO_UNTAR,0510df2c,54446748
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_RAW,86968b04,51918919
NFCORE_MAG-MAG-GTDBTK-GTDBTK_DB_PREPARATION,1104e138,4166484
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_BUILD,2715f8d4,2556089
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,76bd9a63,2645046
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,b14adb55,2492486
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-BOWTIE2_PHIX_REMOVAL_ALIGN,91536bc3,2617335
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,a3a99b58,24575999
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,9af54897,21561451
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-CAT_FASTQ,5aff7b09,4261140
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_TRIMMED,d7e98b57,52334965
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,1bc142bf,12800270
NFCORE_MAG-MAG-ASSEMBLY-GUNZIP_SHORTREAD_ASSEMBLIES,b744edfa,4137588
NFCORE_MAG-MAG-ASSEMBLY-SHORTREAD_ASSEMBLY-MEGAHIT,7739634e,7669937
NFCORE_MAG-MAG-ASSEMBLY-GUNZIP_SHORTREAD_ASSEMBLIES,c49661d9,4192665
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_TRIMMED,dfa08fba,52916995
NFCORE_MAG-MAG-BINNING_PREPARATION-SHORTREAD_BINNING_PREPARATION-BOWTIE2_ASSEMBLY_BUILD,94512e9b,2570811
NFCORE_MAG-MAG-BINNING_PREPARATION-SHORTREAD_BINNING_PREPARATION-BOWTIE2_ASSEMBLY_BUILD,98b140be,2490392
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_TRIMMED,60785d09,53089002
NFCORE_MAG-MAG-PRODIGAL,f23b1cc3,5526053
NFCORE_MAG-MAG-PRODIGAL,3a42ddba,7675625
NFCORE_MAG-MAG-ASSEMBLY-SHORTREAD_ASSEMBLY-METASPADES,887c6183,116306986
